"category","name","count","pct_of_category"
"band","shell-process","180","17.2"
"band","create-in-place","160","15.3"
"band","recovery","160","15.3"
"band","single-edit","150","14.3"
"band","search-then-act","140","13.4"
"band","fs-ops","85","8.1"
"band","multi-file","70","6.7"
"band","blocked","60","5.7"
"band","no-tool-chat","43","4.1"
"tool","editFile","975","36.2"
"tool","readFile","690","25.6"
"tool","glob","210","7.8"
"tool","listDir","160","5.9"
"tool","writeFile","150","5.6"
"tool","grep","145","5.4"
"tool","fileOperations","105","3.9"
"tool","manageTasks","85","3.2"
"tool","managePorts","70","2.6"
"tool","runBash","65","2.4"
"tool","addFileToContext","20","0.7"
"tool","runBackground","20","0.7"
